"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","Негативный тест создания питомца","suites.functional.pet","Sun Mar 22 04:42:32 UTC 2026","failed","Sun Mar 22 04:42:32 UTC 2026","","test_create_pet","",""
"","178","Позитивный тест создания питомца","suites.functional.pet","Sun Mar 22 04:42:31 UTC 2026","passed","Sun Mar 22 04:42:32 UTC 2026","","test_create_pet","",""
